reaction,acyl_chlorides,amines,Controls,HTE_rate,Fast_unmeasurable,Slow_unreliable,HTE_lnk,amine_smiles,acid_smiles,test splits
rxn_03_08,3,8,3.638349599,3.798260799,False,True,0.5795847812746173,CC(C)c1cccc(C(C)C)c1N,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_09,3,9,3.638349599,4.076397634,False,True,0.6102765408469427,C1CCC(CC1)NC2CCCCC2,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_10,3,10,3.638349599,28.02259887,False,False,1.4475084101275153,CCCCCCc1ccc(N)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_11,3,11,3.638349599,4.098003572,False,True,0.6125723326154966,CSc1ccccc1N,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_12,3,12,3.638349599,3.606104993,False,True,0.557038367205222,Nc1ccccc1c2ccccc2,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_13,3,13,3.638349599,22.46784845,False,False,1.3515614858133842,CC(C)(C)c1ccc(N)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_14,3,14,3.638349599,4.183063115,False,True,0.6214944173631874,CC(C)NC(C)C,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_15,3,15,3.638349599,3.01643167,False,True,0.4794934918675541,Nc1ccc(Br)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_16,3,16,3.638349599,915.862069,False,False,2.9618300728133753,CC1CCCCN1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_17,3,17,3.638349599,5.413200222,False,True,0.7334540909561262,Nc1cccc2cccnc12,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_18,3,18,3.638349599,3.423476969,False,True,0.5344674105530216,CC(=O)c1cccc(N)c1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_19,3,19,3.638349599,0.0,True,False,-inf,C1COCCN1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_20,3,20,3.638349599,2.960917066,False,True,0.471426243159992,COc1ccc(cc1N)C(F)(F)F,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_21,3,21,3.638349599,14.67531747,False,False,1.1665875050799814,COCCOc1ccccc1N,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_22,3,22,3.638349599,111.444556,False,False,2.047058858308353,CCC(N)CC,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_23,3,23,3.638349599,3.923647624,False,True,0.593689997223698,CC1CCCC(C)N1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_24,3,24,3.638349599,4.758171467,False,True,0.6774400883591186,Nc1ccc(C=C)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_25,3,25,3.638349599,21.13928104,False,False,1.3250902125991089,Cc1ccc(N)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_26,3,26,3.638349599,11.40796444,False,False,1.0572081587616609,Cc1cccc(N)c1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_27,3,27,3.638349599,5.497678345,False,False,0.7401793267991856,CC(C)NC1CCCCC1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_28,3,28,3.638349599,10.45771107,False,False,1.0194366387904377,COc1ccccc1N,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_29,3,29,3.638349599,4.830786203,False,True,0.6840178172604846,NC(c1ccccc1)(c2ccccc2)c3ccccc3,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_30,3,30,3.638349599,4.901179366,False,True,0.6903005964605246,Cc1cccc(C)c1N,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_31,3,31,3.638349599,4.849725378,False,True,0.6857171468092812,CC1CN(C(OC(C)(C)C)=O)CC(C)N1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_32,3,32,3.638349599,3.53823031,False,True,0.5487860985303848,N#CCCNc1ccccc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_33,3,33,3.638349599,4.310531412,False,True,0.6345308142610844,Nc1ccccc1F,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_35,3,35,3.638349599,6.260918733,False,False,0.7966380666602614,COc1cccc(N)c1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_36,3,36,3.638349599,5.913205252,False,False,0.7718229539634089,Nc1ccc(cc1)C(=O)c2ccccc2,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_37,3,37,3.638349599,13.96030945,False,False,1.1448950451451592,FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TEST1
rxn_04_01,4,1,40.34542314,30.75075075,False,True,1.4878557231228893,CC(N)(C)C,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_03,4,3,40.34542314,323.2170313,False,False,2.509494237018178,Nc1ccc(F)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_04,4,4,40.34542314,1462.857143,False,False,3.1652019166679666,COc1ccc(N)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_05,4,5,40.34542314,436.4479578,False,False,2.6399324657099825,Nc1ccccc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_06,4,6,40.34542314,146.4206642,False,False,2.1656023725880345,Nc1c(C)cc(C)cc1C,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_07,4,7,40.34542314,557.9487179,False,False,2.746594283961722,CCCCCCCc1ccc(N)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_08,4,8,40.34542314,44.51171481,False,True,1.6484743257625258,CC(C)c1cccc(C(C)C)c1N,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_09,4,9,40.34542314,90.32624113,False,False,1.9558139377153672,C1CCC(CC1)NC2CCCCC2,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_10,4,10,40.34542314,727.0472163,False,False,2.861562615965892,CCCCCCc1ccc(N)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_11,4,11,40.34542314,48.1861973,False,True,1.6829226545271925,CSc1ccccc1N,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_12,4,12,40.34542314,109.4672445,False,False,2.0392841861988047,Nc1ccccc1c2ccccc2,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_13,4,13,40.34542314,615.5691888,False,False,2.789276873880332,CC(C)(C)c1ccc(N)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_14,4,14,40.34542314,94.8611048,False,False,1.977088178356645,CC(C)NC(C)C,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
rxn_04_15,4,15,40.34542314,88.38387062,False,False,1.9463730168245885,Nc1ccc(Br)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN
