acyl_chlorides,amines,Controls,HTE_rate (old),Fast_unmeasurable,Slow_unreliable,amine_smiles,acid_smiles,test splits,HTE_rate_corrected (all),HTE_rate_corrected,predicted_bias_correction,classified_rate,NMR_rate
2,30,7.01754386,8.084679817,FALSE,TRUE,Cc1cccc(C)c1N,ClC(=O)c1ccccc1,TRAIN,5.294256,5.294256,2.790423817,0,
2,31,7.01754386,8.102404365,FALSE,TRUE,CC1CN(C(OC(C)(C)C)=O)CC(C)N1,ClC(=O)c1ccccc1,TRAIN,6.346090861,6.346090861,1.756313504,0,
2,32,7.01754386,7.165362271,FALSE,TRUE,N#CCCNc1ccccc1,ClC(=O)c1ccccc1,TRAIN,4.377267881,4.377267881,2.78809439,0,
2,33,7.01754386,7.804959436,FALSE,TRUE,Nc1ccccc1F,ClC(=O)c1ccccc1,TRAIN,5.524632748,5.524632748,2.280326688,0,
2,35,7.01754386,11.37995576,FALSE,FALSE,COc1cccc(N)c1,ClC(=O)c1ccccc1,TRAIN,11.24371717,11.37995576,0.13623859,0,
2,36,7.01754386,8.09801201,FALSE,TRUE,Nc1ccc(cc1)C(=O)c2ccccc2,ClC(=O)c1ccccc1,TRAIN,5.916228181,5.916228181,2.181783829,0,
2,37,7.01754386,28.93238689,FALSE,FALSE,FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,ClC(=O)c1ccccc1,TEST1,28.89147479,28.93238689,0.040912101,0,12.5752
3,1,3.638349599,2.005994566,FALSE,TRUE,CC(N)(C)C,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,0,0,3.677951096,0,
3,3,3.638349599,7.999517679,FALSE,FALSE,Nc1ccc(F)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,7.751816901,7.999517679,0.247700778,0,8.2244
3,4,3.638349599,89.4115639,FALSE,FALSE,COc1ccc(N)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,89.40295994,89.4115639,0.008603958,0,
3,5,3.638349599,8.106494264,FALSE,FALSE,Nc1ccccc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,7.553843517,8.106494264,0.552650747,0,
3,6,3.638349599,8.786975342,FALSE,FALSE,Nc1c(C)cc(C)cc1C,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,7.992704001,8.786975342,0.794271341,0,
3,7,3.638349599,26.8262291,FALSE,FALSE,CCCCCCCc1ccc(N)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,26.81762514,26.8262291,0.008603958,0,
3,8,3.638349599,3.798260799,FALSE,TRUE,CC(C)c1cccc(C(C)C)c1N,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,2.158803898,2.158803898,1.639456901,0,
3,9,3.638349599,4.076397634,FALSE,TRUE,C1CCC(CC1)NC2CCCCC2,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,3.0230762,3.0230762,1.053321434,0,
3,10,3.638349599,28.02259887,FALSE,FALSE,CCCCCCc1ccc(N)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,28.01399491,28.02259887,0.008603958,0,
3,11,3.638349599,4.098003572,FALSE,TRUE,CSc1ccccc1N,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,2.636638648,2.636638648,1.461364924,0,
3,12,3.638349599,3.606104993,FALSE,TRUE,Nc1ccccc1c2ccccc2,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,2.264283751,2.264283751,1.341821242,0,
3,13,3.638349599,22.46784845,FALSE,FALSE,CC(C)(C)c1ccc(N)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,22.45596115,22.46784845,0.011887305,0,
3,14,3.638349599,4.183063115,FALSE,TRUE,CC(C)NC(C)C,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,3.42761358,3.42761358,0.755449535,0,
3,15,3.638349599,3.01643167,FALSE,TRUE,Nc1ccc(Br)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,0.446948693,0.446948693,2.569482977,0,
3,16,3.638349599,915.862069,FALSE,FALSE,CC1CCCCN1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,915.7955801,915.862069,0.066488947,0,
3,17,3.638349599,5.413200222,FALSE,TRUE,Nc1cccc2cccnc12,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,4.646015774,4.646015774,0.767184448,0,
3,18,3.638349599,3.423476969,FALSE,TRUE,CC(=O)c1cccc(N)c1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,1.30669534,1.30669534,2.116781629,0,
3,19,3.638349599,0,TRUE,FALSE,C1COCCN1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,0,0,0,1,
3,20,3.638349599,2.960917066,FALSE,TRUE,COc1ccc(cc1N)C(F)(F)F,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,1.196596779,1.196596779,1.764320287,0,
3,21,3.638349599,14.67531747,FALSE,FALSE,COCCOc1ccccc1N,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN,14.24869174,14.67531747,0.426625728,0,
